trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,188.00,89.53,-19.21,0.00,3.80,1.00,12.68,3.66,-6.68,-6.68,2.68,-3.36,6:07,rear end,10.04,170.69,284,10003,1,10.22,2.50,171.83,9.08,0.98,104.83,-21.49,83.82,-18.47,285,10003,1,4.64,2.00,168.46,12.68,2.68,130.39,-27.00,96.40,-20.06,1.00,99.00,99.00,
Intersection_1_001.trj,187.00,142.85,-29.27,0.00,3.30,1.00,18.19,4.87,-2.85,-2.85,2.70,-1.36,6:03,rear end,14.21,169.97,285,3,1,4.64,2.00,170.69,12.05,2.17,167.69,-32.50,117.98,-24.35,287,3,2,3.75,1.99,169.33,16.90,2.70,195.89,-39.25,126.35,-26.15,1.00,99.00,99.00,
Intersection_1_001.trj,188.00,96.54,-20.16,0.00,4.30,2.00,15.34,7.64,-2.85,-7.34,5.91,-3.41,6:07,rear end,9.45,171.37,284,9,1,10.22,2.50,172.62,7.73,1.73,96.54,-20.16,72.92,-17.10,287,10003,1,3.75,1.99,169.21,15.34,5.91,126.35,-26.15,89.69,-19.16,1.00,99.00,99.00,
Intersection_1_001.trj,199.00,31.51,-9.16,0.00,2.50,3.00,9.24,9.20,-1.26,-1.26,6.72,9.87,5:40,rear end,6.77,351.56,20,10,1,4.01,1.85,341.72,0.05,6.72,31.51,-9.16,40.54,-12.14,22,10008,1,7.93,2.55,351.58,9.24,2.47,-12.96,-2.68,26.36,-8.50,1.00,99.00,99.00,
Intersection_1_001.trj,202.00,87.72,-18.91,0.00,2.80,3.00,17.46,15.88,-3.00,-3.00,8.81,-2.73,6:05,rear end,10.39,170.43,287,9,1,3.75,1.99,172.98,1.58,8.81,88.90,-19.06,74.69,-17.31,289,3,1,4.64,2.00,170.25,17.46,7.07,165.96,-32.27,89.74,-19.17,1.00,99.00,99.00,
Intersection_1_001.trj,213.00,79.29,-17.90,0.00,1.50,1.00,13.89,5.26,-0.46,-2.83,3.99,-3.09,6:06,rear end,8.50,171.44,290,9,1,12.14,2.55,172.53,7.24,1.27,99.79,-20.62,73.35,-17.15,291,10003,1,4.76,2.07,169.44,12.48,3.99,133.29,-27.62,84.35,-18.50,1.00,99.00,99.00,
Intersection_1_001.trj,214.00,98.70,-20.37,0.00,3.40,2.00,12.81,4.53,-3.11,-7.22,2.40,-3.28,6:07,rear end,10.69,170.53,291,9,1,4.76,2.07,172.61,8.32,2.40,98.70,-20.37,83.81,-18.44,292,10003,1,4.84,2.29,169.33,12.81,2.13,119.67,-24.71,91.30,-19.37,1.00,99.00,99.00,
Intersection_1_001.trj,247.00,81.88,-18.20,0.00,3.60,2.00,10.96,3.18,-2.71,-2.71,1.71,-0.20,6:00,rear end,9.49,172.84,299,9,1,4.01,1.85,172.97,7.78,1.71,81.88,-18.20,69.30,-16.65,302,9,1,4.33,1.99,172.76,10.96,1.47,99.99,-20.52,74.72,-17.32,1.00,99.00,99.00,
Intersection_1_001.trj,258.00,10.44,-3.38,0.00,1.10,2.00,13.15,4.87,-3.08,-3.08,2.59,0.91,5:58,lane change,10.56,353.17,28,7,1,4.21,2.00,352.64,8.28,2.29,10.44,-3.38,26.34,-5.43,29,7,1,3.75,1.99,353.55,13.15,2.59,-12.47,0.67,19.96,-2.99,1.00,99.00,99.00,
Intersection_1_001.trj,256.00,136.48,-28.55,0.00,1.20,1.00,11.33,4.15,-1.01,-5.54,2.27,1.58,5:57,rear end,7.37,168.62,303,10003,1,3.75,1.99,167.53,5.10,2.27,136.48,-28.55,100.30,-20.54,305,3,1,4.61,1.95,169.11,9.24,1.88,150.06,-30.23,106.01,-21.75,1.00,99.00,99.00,
Intersection_1_001.trj,264.00,122.50,-25.31,0.00,1.60,1.00,15.51,6.90,-3.87,-7.34,5.42,3.01,5:54,rear end,8.71,169.76,307,10003,1,12.14,2.55,168.71,7.24,1.48,143.14,-29.33,115.78,-23.87,308,3,1,4.21,2.00,171.72,14.12,5.42,189.86,-35.39,126.08,-26.11,1.00,99.00,99.00,
Intersection_1_001.trj,268.00,126.83,-26.27,0.00,0.60,3.00,3.22,3.22,-3.37,-3.37,1.66,0.47,5:59,rear end,1.66,168.35,308,10003,1,4.21,2.00,167.89,0.00,1.66,126.83,-26.27,125.32,-25.95,309,10003,1,4.61,1.95,168.35,3.22,1.56,135.62,-28.12,130.88,-27.14,1.00,99.00,99.00,
Intersection_1_001.trj,270.00,63.10,45.95,0.00,0.90,2.00,14.90,5.72,-3.70,-3.70,2.94,2.71,5:55,lane change,12.14,263.64,697,1,2,4.64,2.00,261.93,9.21,2.94,63.10,45.95,60.70,28.99,698,1,2,4.76,2.07,264.64,14.90,2.77,66.37,69.02,63.08,33.92,1.00,99.00,99.00,
Intersection_1_001.trj,278.00,158.24,-34.33,0.00,0.90,2.00,11.26,4.19,-0.44,-3.10,2.14,0.22,5:59,rear end,9.12,172.51,318,3,2,4.94,2.07,172.38,7.07,2.06,158.24,-34.33,150.40,-33.28,314,3,2,4.76,2.07,172.60,11.26,2.14,176.78,-36.70,160.28,-34.56,1.00,99.00,99.00,
Intersection_1_001.trj,275.00,176.89,-37.81,0.00,3.90,1.00,16.12,3.30,-0.07,-7.11,1.91,-0.86,6:02,lane change,14.74,170.21,315,3,2,4.01,1.85,170.75,12.83,1.91,176.89,-37.81,143.76,-32.41,318,3,3,4.94,2.07,169.89,16.12,1.39,192.89,-40.90,149.47,-33.16,1.00,99.00,99.00,
Intersection_1_001.trj,280.00,152.92,-30.58,0.00,4.50,2.00,7.24,2.38,-1.48,-1.48,1.44,0.12,5:59,rear end,5.80,172.54,312,3,1,12.14,2.55,172.48,4.85,0.94,152.92,-30.58,139.84,-28.85,317,3,1,7.93,2.55,172.60,7.24,1.44,172.98,-33.18,153.42,-30.64,1.00,99.00,99.00,
Intersection_1_001.trj,279.00,172.98,-33.18,0.00,3.70,2.00,12.67,5.43,-0.57,-6.73,3.72,0.00,6:00,rear end,8.95,172.60,317,3,1,7.93,2.55,172.60,7.24,1.71,172.98,-33.18,152.91,-30.58,320,3,1,4.64,2.00,172.60,12.67,3.72,202.22,-36.98,161.76,-31.73,1.00,99.00,99.00,
Intersection_1_001.trj,292.00,193.86,-37.24,0.00,3.40,3.00,11.41,4.92,-0.40,-4.78,3.60,-1.85,6:04,lane change,7.81,166.87,325,3,1,7.93,2.55,167.59,6.49,1.32,193.86,-37.24,179.91,-34.18,326,3,2,4.01,1.85,165.75,11.41,3.60,221.43,-43.63,188.93,-35.37,1.00,99.00,99.00,
Intersection_1_001.trj,296.00,148.87,-30.05,0.00,3.70,1.00,5.37,1.39,-1.42,-1.42,0.71,0.00,6:00,rear end,2.49,172.60,320,3,1,4.64,2.00,172.60,1.81,0.68,151.30,-30.37,145.22,-29.58,321,3,1,4.61,1.95,172.60,3.19,0.71,161.85,-31.74,152.98,-30.59,1.00,99.00,99.00,
Intersection_1_001.trj,296.00,90.77,-19.36,0.00,1.60,1.00,10.31,2.39,-7.20,-7.46,1.93,-3.32,6:07,rear end,6.51,171.53,312,9,1,12.14,2.55,172.36,6.06,0.46,100.91,-20.78,80.22,-18.01,315,10003,1,4.01,1.85,169.05,8.41,1.93,124.19,-25.76,90.84,-19.30,1.00,99.00,99.00,
