class,probability,count
171,7.840399809807076e-05,31
172,2.7820773518670267e-05,11
173,3.793741843455037e-05,15
174,5.5641547037340534e-05,22
175,3.2879095976610314e-05,13
176,3.5408257205580345e-05,14
177,4.805406335043046e-05,19
178,1.5174967373820147e-05,6
179,3.2879095976610314e-05,13
180,5.0583224579400486e-05,20
181,8.852064301395085e-05,35
182,1.5174967373820147e-05,6
183,2.5291612289700243e-05,10
184,1.2645806144850122e-05,5
185,3.0349934747640294e-05,12
186,2.0233289831760196e-05,8
187,1.0116644915880098e-05,4
188,3.0349934747640294e-05,12
189,2.276245106073022e-05,9
190,4.046657966352039e-05,16
191,3.0349934747640294e-05,12
192,2.0233289831760196e-05,8
193,6.828735318219065e-05,27
194,2.7820773518670267e-05,11
195,3.2879095976610314e-05,13
196,7.5874836869100735e-06,3
197,3.0349934747640294e-05,12
198,1.7704128602790172e-05,7
199,5.058322457940049e-06,2
200,3.793741843455037e-05,15
201,2.276245106073022e-05,9
202,5.058322457940049e-06,2
203,2.5291612289700243e-05,10
204,3.2879095976610314e-05,13
205,5.058322457940049e-06,2
206,4.2995740892490416e-05,17
207,6.828735318219065e-05,27
208,5.5641547037340534e-05,22
209,3.5408257205580345e-05,14
210,1.7704128602790172e-05,7
211,1.0116644915880098e-05,4
212,2.5291612289700243e-05,10
213,3.2879095976610314e-05,13
214,5.0583224579400486e-05,20
215,4.552490212146044e-05,18
216,2.5291612289700243e-05,10
217,3.2879095976610314e-05,13
218,3.2879095976610314e-05,13
219,1.5174967373820147e-05,6
220,7.081651441116069e-05,28
221,3.0349934747640294e-05,12
222,2.5291612289700243e-05,10
223,1.5174967373820147e-05,6
224,3.0349934747640294e-05,12
225,5.0583224579400486e-05,20
226,4.552490212146044e-05,18
227,1.7704128602790172e-05,7
228,6.069986949528059e-05,24
229,1.7704128602790172e-05,7
230,5.311238580837051e-05,21
231,7.840399809807076e-05,31
232,4.046657966352039e-05,16
233,5.058322457940049e-06,2
234,3.0349934747640294e-05,12
235,2.276245106073022e-05,9
236,3.793741843455037e-05,15
237,6.32290307242506e-05,25
238,2.5291612289700243e-05,10
239,6.575819195322063e-05,26
240,1.0116644915880098e-05,4
241,2.276245106073022e-05,9
242,3.5408257205580345e-05,14
243,7.840399809807076e-05,31
244,5.817070826631056e-05,23
245,5.058322457940049e-06,2
246,1.7704128602790172e-05,7
