trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001-rs-w-jrude6.trj,156.00,53.42,38.21,0.00,0.00,0.00,17.16,3.78,-7.05,-7.05,2.54,-5.86,6:12,rear end,10.81,79.85,222,8,1,7.93,2.55,82.20,9.64,1.24,49.13,6.83,53.42,38.21,228,10012,1,4.76,2.07,76.34,13.24,2.54,42.28,-9.87,52.67,32.84,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,161.00,50.16,13.52,0.00,0.00,0.00,3.40,3.40,0.00,0.00,2.63,-6.68,6:13,rear end,0.77,81.49,229,8,1,3.75,1.99,81.49,3.40,2.63,50.16,13.52,50.16,13.52,233,8,1,10.22,2.50,74.81,0.00,0.77,50.58,20.20,50.58,20.20,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,160.00,-23.13,-0.13,0.00,3.40,3.00,7.91,5.22,-3.26,-3.26,2.69,-2.66,6:05,rear end,5.22,344.12,24,10008,1,4.61,1.95,346.08,2.69,2.53,-23.13,-0.13,-20.50,-0.78,25,7,1,4.21,2.00,343.41,7.91,2.69,-37.44,4.00,-26.88,0.86,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,159.00,49.61,9.61,0.00,0.00,0.00,11.77,2.16,-1.75,-1.75,1.67,-1.40,6:03,rear end,10.11,76.26,227,10004,1,3.75,1.99,77.29,11.77,1.67,42.03,-23.97,49.61,9.61,233,10012,1,10.22,2.50,75.89,9.62,0.49,40.11,-19.22,47.70,10.96,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,166.00,49.41,8.26,0.00,0.00,0.00,9.24,1.61,-0.96,-2.29,1.12,-1.41,6:03,rear end,8.12,77.12,231,10004,1,6.67,2.60,77.60,7.64,0.48,44.59,-13.64,49.41,8.26,239,10012,1,3.75,1.99,76.19,9.24,1.12,39.83,-20.04,47.38,10.69,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,166.00,51.40,22.87,0.00,2.80,3.00,9.24,9.24,-0.96,-2.29,4.62,-7.64,6:15,rear end,4.62,74.84,227,8,1,3.75,1.99,82.48,0.00,4.62,51.40,22.87,53.06,35.40,239,10012,1,3.75,1.99,74.84,9.24,4.62,39.83,-20.04,50.59,19.69,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,167.00,50.59,16.71,0.00,2.80,3.00,2.34,2.34,-1.78,-1.78,1.25,-11.57,6:23,rear end,1.25,70.89,229,8,1,3.75,1.99,82.45,0.00,1.25,50.59,16.71,51.80,25.86,240,10002,1,4.36,1.97,70.89,2.34,1.09,46.83,9.15,48.41,13.71,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,171.00,50.39,15.28,0.00,0.00,0.00,3.69,1.72,-7.52,-7.52,1.20,-10.26,6:21,rear end,2.53,77.69,231,8,1,6.67,2.60,82.17,2.04,0.52,49.76,10.70,50.39,15.28,239,8,1,3.75,1.99,71.91,3.69,1.20,50.59,19.69,50.87,20.55,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,167.00,45.34,-10.73,0.00,3.80,2.00,7.44,2.48,-0.43,-4.87,1.95,0.52,5:59,rear end,5.49,76.61,234,10004,1,12.14,2.55,76.46,4.96,0.53,45.34,-10.73,48.32,1.66,235,5,3,4.21,2.00,76.98,7.44,1.95,40.44,-31.75,45.29,-10.78,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,168.00,37.04,-57.08,0.00,1.50,1.00,11.31,3.71,-0.63,-7.32,2.77,1.32,5:57,lane change,8.54,82.78,242,5,3,12.14,2.55,82.34,7.61,0.94,34.27,-77.65,38.81,-43.89,244,5,3,4.89,2.14,83.66,11.31,2.77,30.84,-103.17,36.09,-55.96,1.00,99.00,99.00,
