trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,60.00,40.23,-33.33,0.00,2.90,3.00,1.80,1.80,-1.12,-1.12,1.27,3.92,5:52,rear end,1.27,82.34,44,5,3,4.21,2.00,78.43,0.00,1.27,40.23,-33.33,42.85,-20.51,48,5,3,7.93,2.55,82.34,1.80,0.53,38.86,-43.51,39.45,-39.13,1.00,99.00,99.00,
Intersection_1_001.trj,63.00,34.47,-53.69,0.00,2.90,3.00,3.42,2.85,-2.24,-2.24,1.56,0.00,5:59,rear end,2.13,82.34,46,5,4,3.75,1.99,82.34,0.57,1.56,34.47,-53.69,35.58,-45.37,49,5,4,4.61,1.95,82.34,3.42,1.29,33.12,-63.68,34.20,-55.64,1.00,99.00,99.00,
Intersection_1_001.trj,64.00,58.02,10.13,0.00,4.70,3.00,4.54,2.14,-1.83,-1.83,1.22,0.00,6:00,rear end,3.32,261.93,691,1,2,4.84,2.29,261.93,2.40,0.93,58.02,10.13,57.47,6.20,694,1,2,4.21,2.00,261.93,4.54,1.22,59.49,20.47,58.59,14.16,1.00,99.00,99.00,
Intersection_1_001.trj,67.00,35.91,-42.97,0.00,2.90,3.00,3.75,3.11,-2.12,-2.12,1.70,0.00,5:59,rear end,2.34,82.34,46,5,4,3.75,1.99,82.34,0.64,1.70,35.91,-42.97,37.58,-30.50,49,5,4,4.61,1.95,82.34,3.75,1.41,34.70,-51.92,35.66,-44.80,1.00,99.00,99.00,
Intersection_1_001.trj,77.00,93.03,-19.65,0.00,4.10,3.00,5.11,2.47,-1.27,-1.27,1.23,-4.56,6:09,rear end,3.88,169.40,389,9,1,10.22,2.50,172.40,2.66,1.23,93.03,-19.65,89.26,-19.15,390,10003,1,10.22,2.50,167.84,5.11,1.23,112.75,-23.21,103.01,-21.11,1.00,99.00,99.00,
Intersection_1_001.trj,97.00,130.04,-26.95,0.00,3.70,2.00,10.35,3.20,-2.96,-7.59,1.63,2.05,5:56,rear end,8.73,169.07,393,10003,1,4.64,2.00,167.88,7.16,1.57,130.04,-26.95,119.66,-24.72,394,3,1,4.61,1.95,169.93,10.35,1.63,147.03,-29.83,125.98,-26.09,1.00,99.00,99.00,
Intersection_1_001.trj,99.00,138.18,-28.64,0.00,3.60,3.00,13.82,6.31,-2.84,-2.84,3.15,2.11,5:56,rear end,10.66,169.57,394,10003,1,4.61,1.95,168.20,7.52,3.15,138.18,-28.64,125.98,-26.09,395,3,1,4.61,1.95,170.31,13.82,3.15,169.90,-33.88,132.69,-27.53,1.00,99.00,99.00,
Intersection_1_001.trj,101.00,34.87,-50.67,0.00,3.80,3.00,17.10,7.70,-3.62,-3.62,4.39,0.00,5:59,rear end,13.79,82.34,57,5,4,4.01,1.85,82.34,9.40,4.39,34.87,-50.67,37.27,-32.81,58,5,4,4.76,2.07,82.34,17.10,3.31,30.44,-83.65,36.38,-39.47,1.00,99.00,99.00,
Intersection_1_001.trj,100.00,32.47,-68.50,0.00,4.00,1.00,16.45,2.97,-3.69,-3.69,1.53,0.00,6:00,rear end,14.92,82.34,58,5,4,4.76,2.07,82.34,13.48,1.44,32.47,-68.50,36.38,-39.47,59,5,4,4.64,2.00,82.34,16.45,1.53,30.09,-86.22,35.51,-45.93,1.00,99.00,99.00,
Intersection_1_001.trj,105.00,157.96,-31.23,0.00,4.20,3.00,7.12,1.56,-5.91,-5.91,0.90,-0.02,6:00,rear end,6.22,172.59,397,3,1,4.21,2.00,172.60,7.12,0.90,157.96,-31.23,148.19,-29.96,396,3,1,4.92,2.34,172.58,5.56,0.66,175.01,-33.45,155.65,-30.93,1.00,99.00,99.00,
